cliente,produto,preco,categoria,quantidade,data,cidade,Faturamento
4645,chromecast,200.0,"TV, Áudio e Vídeo",5,31/07/2024,Santos,1000.0
5321,fone de ouvido,200.0,Smartphones e Acessórios,1,31/07/2024,São Paulo,200.0
6897,soundbar,1000.0,"TV, Áudio e Vídeo",5,31/07/2024,Joinville,5000.0
3485,smart tv,4000.0,"TV, Áudio e Vídeo",5,31/07/2024,Curitiba,20000.0
2951,chromecast,200.0,"TV, Áudio e Vídeo",3,31/07/2024,Curitiba,600.0
6836,monitor,1500.0,Informática e Periféricos,2,31/07/2024,Porto Alegre,3000.0
4778,mouse,100.0,Informática e Periféricos,2,31/07/2024,Santos,200.0
8970,monitor,1500.0,Informática e Periféricos,2,31/05/2025,Joinville,3000.0
8355,soundbar,1000.0,"TV, Áudio e Vídeo",5,31/05/2025,Rio de Janeiro,5000.0
6035,chromecast,200.0,"TV, Áudio e Vídeo",3,31/05/2025,Curitiba,600.0
875,notebook,4000.0,Informática e Periféricos,1,31/05/2025,Campinas,4000.0
1490,geladeira,5000.0,Eletrodomésticos,3,31/05/2025,Balneário Camboriú,15000.0
3083,smartphone,2000.0,Smartphones e Acessórios,1,31/05/2025,Campinas,2000.0
694,carregador,100.0,Smartphones e Acessórios,2,31/05/2024,Balneário Camboriú,200.0
3485,smartwatch,1000.0,Smartphones e Acessórios,1,31/05/2024,Florianópolis,1000.0
8792,smartwatch,1000.0,Smartphones e Acessórios,4,31/05/2024,Florianópolis,4000.0
6339,ar-condicionado,2500.0,Eletrodomésticos,5,31/05/2024,Belo Horizonte,12500.0
2991,ar-condicionado,2500.0,Eletrodomésticos,4,31/05/2024,São Paulo,10000.0
6195,notebook,4000.0,Informática e Periféricos,5,31/05/2024,Joinville,20000.0
7298,fogao,1500.0,Eletrodomésticos,3,31/05/2024,Belo Horizonte,4500.0
1914,chromecast,200.0,"TV, Áudio e Vídeo",2,31/05/2024,Santos,400.0
1482,fone de ouvido,200.0,Smartphones e Acessórios,2,31/05/2024,Joinville,400.0
3571,smartwatch,1000.0,Smartphones e Acessórios,2,31/05/2024,São Paulo,2000.0
1789,mouse,100.0,Informática e Periféricos,4,31/05/2024,Rio de Janeiro,400.0
7408,ar-condicionado,2500.0,Eletrodomésticos,5,31/03/2025,Belo Horizonte,12500.0
2141,fogao,1500.0,Eletrodomésticos,5,31/03/2025,Rio de Janeiro,7500.0
9872,chromecast,200.0,"TV, Áudio e Vídeo",5,31/03/2025,Campinas,1000.0
3951,ar-condicionado,2500.0,Eletrodomésticos,3,31/03/2025,Porto Alegre,7500.0
4432,smartphone,2000.0,Smartphones e Acessórios,3,31/03/2025,São Paulo,6000.0
360,monitor,1500.0,Informática e Periféricos,2,31/03/2025,Rio de Janeiro,3000.0
8350,monitor,1500.0,Informática e Periféricos,1,31/03/2025,Campinas,1500.0
1724,chromecast,200.0,"TV, Áudio e Vídeo",2,31/03/2025,Belo Horizonte,400.0
9168,notebook,4000.0,Informática e Periféricos,2,31/03/2025,Florianópolis,8000.0
5150,chromecast,200.0,"TV, Áudio e Vídeo",4,31/03/2025,São Paulo,800.0
9854,soundbar,1000.0,"TV, Áudio e Vídeo",1,31/03/2024,Florianópolis,1000.0
3020,fone de ouvido,200.0,Smartphones e Acessórios,4,31/03/2024,Santos,800.0
3541,smart tv,4000.0,"TV, Áudio e Vídeo",1,31/03/2024,Santos,4000.0
9839,carregador,100.0,Smartphones e Acessórios,3,31/03/2024,Florianópolis,300.0
8975,smartphone,2000.0,Smartphones e Acessórios,4,31/03/2024,Santos,8000.0
4609,carregador,100.0,Smartphones e Acessórios,1,31/03/2024,Santos,100.0
6016,ar-condicionado,2500.0,Eletrodomésticos,5,31/03/2024,Balneário Camboriú,12500.0
7608,fone de ouvido,200.0,Smartphones e Acessórios,1,31/03/2024,Joinville,200.0
2845,mouse,100.0,Informática e Periféricos,1,31/03/2024,Belo Horizonte,100.0
8833,ar-condicionado,2500.0,Eletrodomésticos,2,31/03/2024,Rio de Janeiro,5000.0
2495,geladeira,5000.0,Eletrodomésticos,1,31/03/2024,Belo Horizonte,5000.0
7555,carregador,100.0,Smartphones e Acessórios,1,31/03/2024,Porto Alegre,100.0
7802,monitor,1500.0,Informática e Periféricos,4,31/03/2024,Porto Alegre,6000.0
7322,soundbar,1000.0,"TV, Áudio e Vídeo",5,31/03/2024,Belo Horizonte,5000.0
4416,ar-condicionado,2500.0,Eletrodomésticos,3,31/03/2024,Santos,7500.0
5627,fone de ouvido,200.0,Smartphones e Acessórios,5,31/03/2024,Porto Alegre,1000.0
8715,smartphone,2000.0,Smartphones e Acessórios,1,31/03/2024,Porto Alegre,2000.0
7889,smartwatch,1000.0,Smartphones e Acessórios,1,31/01/2025,Curitiba,1000.0
8587,monitor,1500.0,Informática e Periféricos,5,31/01/2025,Florianópolis,7500.0
3026,geladeira,5000.0,Eletrodomésticos,3,31/01/2025,Santos,15000.0
8701,smartphone,2000.0,Smartphones e Acessórios,1,31/01/2025,Florianópolis,2000.0
9031,geladeira,5000.0,Eletrodomésticos,1,31/01/2025,Porto Alegre,5000.0
3665,smartwatch,1000.0,Smartphones e Acessórios,3,31/01/2025,Porto Alegre,3000.0
4925,carregador,100.0,Smartphones e Acessórios,5,31/01/2025,Rio de Janeiro,500.0
9306,fogao,1500.0,Eletrodomésticos,3,31/01/2025,Campinas,4500.0
4071,smart tv,4000.0,"TV, Áudio e Vídeo",5,31/01/2025,São Paulo,20000.0
7861,monitor,1500.0,Informática e Periféricos,5,31/01/2025,Campinas,7500.0
2485,mouse,100.0,Informática e Periféricos,1,31/01/2025,Joinville,100.0
159,smart tv,4000.0,"TV, Áudio e Vídeo",3,31/01/2024,Belo Horizonte,12000.0
2190,fone de ouvido,200.0,Smartphones e Acessórios,5,31/01/2024,Belo Horizonte,1000.0
7296,fogao,1500.0,Eletrodomésticos,2,31/01/2024,São Paulo,3000.0
9551,carregador,100.0,Smartphones e Acessórios,3,30/12/2025,Porto Alegre,300.0
1448,mouse,100.0,Informática e Periféricos,4,30/12/2025,Florianópolis,400.0
585,fone de ouvido,200.0,Smartphones e Acessórios,3,30/12/2025,Curitiba,600.0
8612,carregador,100.0,Smartphones e Acessórios,4,30/12/2025,São Paulo,400.0
2081,soundbar,1000.0,"TV, Áudio e Vídeo",2,30/12/2025,Rio de Janeiro,2000.0
3940,notebook,4000.0,Informática e Periféricos,2,30/12/2025,São Paulo,8000.0
3463,ar-condicionado,2500.0,Eletrodomésticos,2,30/12/2025,Porto Alegre,5000.0
1276,fogao,1500.0,Eletrodomésticos,5,30/12/2025,São Paulo,7500.0
6280,monitor,1500.0,Informática e Periféricos,4,30/12/2024,Curitiba,6000.0
4438,soundbar,1000.0,"TV, Áudio e Vídeo",2,30/12/2024,Balneário Camboriú,2000.0
1519,soundbar,1000.0,"TV, Áudio e Vídeo",2,30/12/2024,Balneário Camboriú,2000.0
515,geladeira,5000.0,Eletrodomésticos,5,30/12/2024,Belo Horizonte,25000.0
4912,smart tv,4000.0,"TV, Áudio e Vídeo",1,30/12/2024,Joinville,4000.0
5110,fogao,1500.0,Eletrodomésticos,2,30/12/2024,Rio de Janeiro,3000.0
3904,fogao,1500.0,Eletrodomésticos,3,30/12/2024,São Paulo,4500.0
4500,smartwatch,1000.0,Smartphones e Acessórios,1,30/12/2024,Curitiba,1000.0
3226,fogao,1500.0,Eletrodomésticos,2,30/12/2024,Porto Alegre,3000.0
9604,smartphone,2000.0,Smartphones e Acessórios,3,30/12/2024,Belo Horizonte,6000.0
7293,smart tv,4000.0,"TV, Áudio e Vídeo",3,30/12/2024,Balneário Camboriú,12000.0
8346,mouse,100.0,Informática e Periféricos,2,30/12/2024,Joinville,200.0
7237,smartwatch,1000.0,Smartphones e Acessórios,3,30/12/2024,Rio de Janeiro,3000.0
1493,notebook,4000.0,Informática e Periféricos,4,30/11/2025,Florianópolis,16000.0
7178,smartphone,2000.0,Smartphones e Acessórios,1,30/11/2025,Rio de Janeiro,2000.0
5549,geladeira,5000.0,Eletrodomésticos,4,30/11/2025,Curitiba,20000.0
170,geladeira,5000.0,Eletrodomésticos,4,30/11/2025,Balneário Camboriú,20000.0
1586,notebook,4000.0,Informática e Periféricos,1,30/11/2025,Rio de Janeiro,4000.0
5383,smartphone,2000.0,Smartphones e Acessórios,2,30/11/2025,Belo Horizonte,4000.0
6616,mouse,100.0,Informática e Periféricos,3,30/11/2025,Florianópolis,300.0
5066,fone de ouvido,200.0,Smartphones e Acessórios,4,30/11/2025,São Paulo,800.0
6044,smart tv,4000.0,"TV, Áudio e Vídeo",5,30/11/2024,Santos,20000.0
168,notebook,4000.0,Informática e Periféricos,2,30/11/2024,Campinas,8000.0
9137,smart tv,4000.0,"TV, Áudio e Vídeo",1,30/11/2024,Balneário Camboriú,4000.0
5687,geladeira,5000.0,Eletrodomésticos,1,30/11/2024,Rio de Janeiro,5000.0
1217,monitor,1500.0,Informática e Periféricos,3,30/11/2024,Curitiba,4500.0
8819,notebook,4000.0,Informática e Periféricos,4,30/11/2024,Porto Alegre,16000.0
4917,smart tv,4000.0,"TV, Áudio e Vídeo",5,30/11/2024,Santos,20000.0
9898,notebook,4000.0,Informática e Periféricos,3,30/11/2024,Santos,12000.0
1372,smartphone,2000.0,Smartphones e Acessórios,1,30/11/2024,Rio de Janeiro,2000.0
8763,carregador,100.0,Smartphones e Acessórios,3,30/11/2024,Porto Alegre,300.0
6050,smartphone,2000.0,Smartphones e Acessórios,4,30/11/2024,Joinville,8000.0
4231,monitor,1500.0,Informática e Periféricos,4,30/11/2024,Santos,6000.0
7472,fone de ouvido,200.0,Smartphones e Acessórios,2,30/11/2024,Belo Horizonte,400.0
8990,geladeira,5000.0,Eletrodomésticos,5,30/11/2024,Florianópolis,25000.0
1206,smart tv,4000.0,"TV, Áudio e Vídeo",4,30/11/2024,Balneário Camboriú,16000.0
8745,fone de ouvido,200.0,Smartphones e Acessórios,5,30/10/2025,Porto Alegre,1000.0
842,fone de ouvido,200.0,Smartphones e Acessórios,1,30/10/2025,Rio de Janeiro,200.0
8151,smart tv,4000.0,"TV, Áudio e Vídeo",2,30/10/2025,Florianópolis,8000.0
5158,soundbar,1000.0,"TV, Áudio e Vídeo",1,30/10/2025,Curitiba,1000.0
9232,monitor,1500.0,Informática e Periféricos,1,30/10/2025,Porto Alegre,1500.0
3609,ar-condicionado,2500.0,Eletrodomésticos,1,30/10/2025,Florianópolis,2500.0
896,chromecast,200.0,"TV, Áudio e Vídeo",2,30/10/2025,Florianópolis,400.0
6592,fone de ouvido,200.0,Smartphones e Acessórios,1,30/10/2025,Porto Alegre,200.0
3172,smartwatch,1000.0,Smartphones e Acessórios,4,30/10/2025,Rio de Janeiro,4000.0
7901,smartwatch,1000.0,Smartphones e Acessórios,2,30/10/2025,Joinville,2000.0
9690,fogao,1500.0,Eletrodomésticos,1,30/10/2024,Porto Alegre,1500.0
1894,carregador,100.0,Smartphones e Acessórios,5,30/10/2024,Campinas,500.0
8765,chromecast,200.0,"TV, Áudio e Vídeo",2,30/10/2024,Santos,400.0
6644,smartphone,2000.0,Smartphones e Acessórios,3,30/10/2024,Santos,6000.0
9572,notebook,4000.0,Informática e Periféricos,4,30/10/2024,Campinas,16000.0
3764,smart tv,4000.0,"TV, Áudio e Vídeo",5,30/10/2024,Florianópolis,20000.0
7386,fogao,1500.0,Eletrodomésticos,2,30/10/2024,Campinas,3000.0
6412,chromecast,200.0,"TV, Áudio e Vídeo",2,30/10/2024,Balneário Camboriú,400.0
3819,mouse,100.0,Informática e Periféricos,2,30/10/2024,Campinas,200.0
8226,smartwatch,1000.0,Smartphones e Acessórios,4,30/10/2024,Santos,4000.0
143,geladeira,5000.0,Eletrodomésticos,5,30/10/2024,Rio de Janeiro,25000.0
5748,monitor,1500.0,Informática e Periféricos,4,30/10/2024,Belo Horizonte,6000.0
2803,notebook,4000.0,Informática e Periféricos,4,30/10/2024,Florianópolis,16000.0
109,carregador,100.0,Smartphones e Acessórios,2,30/10/2024,Porto Alegre,200.0
1227,monitor,1500.0,Informática e Periféricos,1,30/10/2024,São Paulo,1500.0
8572,chromecast,200.0,"TV, Áudio e Vídeo",2,30/09/2025,Campinas,400.0
8625,geladeira,5000.0,Eletrodomésticos,2,30/09/2025,Campinas,10000.0
2625,smart tv,4000.0,"TV, Áudio e Vídeo",4,30/09/2025,Joinville,16000.0
6021,smart tv,4000.0,"TV, Áudio e Vídeo",4,30/09/2025,Porto Alegre,16000.0
9485,monitor,1500.0,Informática e Periféricos,5,30/09/2025,Curitiba,7500.0
8779,fogao,1500.0,Eletrodomésticos,4,30/09/2025,Belo Horizonte,6000.0
7903,mouse,100.0,Informática e Periféricos,2,30/09/2025,Florianópolis,200.0
1848,fone de ouvido,200.0,Smartphones e Acessórios,1,30/09/2024,Campinas,200.0
2804,mouse,100.0,Informática e Periféricos,2,30/09/2024,Belo Horizonte,200.0
6062,smartphone,2000.0,Smartphones e Acessórios,3,30/09/2024,Campinas,6000.0
9110,geladeira,5000.0,Eletrodomésticos,1,30/09/2024,Curitiba,5000.0
8717,chromecast,200.0,"TV, Áudio e Vídeo",3,30/09/2024,Santos,600.0
8866,soundbar,1000.0,"TV, Áudio e Vídeo",2,30/09/2024,São Paulo,2000.0
992,smartwatch,1000.0,Smartphones e Acessórios,5,30/09/2024,Rio de Janeiro,5000.0
578,chromecast,200.0,"TV, Áudio e Vídeo",5,30/09/2024,Campinas,1000.0
582,mouse,100.0,Informática e Periféricos,4,30/09/2024,Belo Horizonte,400.0
7983,fogao,1500.0,Eletrodomésticos,5,30/09/2024,Joinville,7500.0
9778,fogao,1500.0,Eletrodomésticos,5,30/08/2025,São Paulo,7500.0
2443,carregador,100.0,Smartphones e Acessórios,2,30/08/2025,Rio de Janeiro,200.0
6266,geladeira,5000.0,Eletrodomésticos,2,30/08/2025,Curitiba,10000.0
5613,smartwatch,1000.0,Smartphones e Acessórios,5,30/08/2025,Santos,5000.0
4582,ar-condicionado,2500.0,Eletrodomésticos,4,30/08/2025,Belo Horizonte,10000.0
3173,smartwatch,1000.0,Smartphones e Acessórios,5,30/08/2025,São Paulo,5000.0
9894,mouse,100.0,Informática e Periféricos,2,30/08/2025,Porto Alegre,200.0
4283,soundbar,1000.0,"TV, Áudio e Vídeo",2,30/08/2024,São Paulo,2000.0
1801,soundbar,1000.0,"TV, Áudio e Vídeo",3,30/08/2024,Porto Alegre,3000.0
806,monitor,1500.0,Informática e Periféricos,3,30/08/2024,Campinas,4500.0
8165,soundbar,1000.0,"TV, Áudio e Vídeo",4,30/08/2024,Rio de Janeiro,4000.0
8615,mouse,100.0,Informática e Periféricos,4,30/08/2024,Rio de Janeiro,400.0
718,smartphone,2000.0,Smartphones e Acessórios,1,30/08/2024,Florianópolis,2000.0
4266,geladeira,5000.0,Eletrodomésticos,5,30/08/2024,Florianópolis,25000.0
5034,carregador,100.0,Smartphones e Acessórios,3,30/08/2024,Santos,300.0
2839,monitor,1500.0,Informática e Periféricos,2,30/08/2024,Campinas,3000.0
1817,fone de ouvido,200.0,Smartphones e Acessórios,1,30/08/2024,Balneário Camboriú,200.0
8249,mouse,100.0,Informática e Periféricos,4,30/08/2024,Joinville,400.0
5452,ar-condicionado,2500.0,Eletrodomésticos,3,30/07/2025,Balneário Camboriú,7500.0
4355,smartphone,2000.0,Smartphones e Acessórios,1,30/07/2025,Curitiba,2000.0
8081,fogao,1500.0,Eletrodomésticos,3,30/07/2025,Florianópolis,4500.0
9805,fone de ouvido,200.0,Smartphones e Acessórios,4,30/07/2025,Santos,800.0
7750,fone de ouvido,200.0,Smartphones e Acessórios,2,30/07/2025,São Paulo,400.0
5200,soundbar,1000.0,"TV, Áudio e Vídeo",3,30/07/2025,São Paulo,3000.0
6382,soundbar,1000.0,"TV, Áudio e Vídeo",3,30/07/2025,Campinas,3000.0
2033,mouse,100.0,Informática e Periféricos,3,30/07/2025,Porto Alegre,300.0
2252,fogao,1500.0,Eletrodomésticos,4,30/07/2025,Balneário Camboriú,6000.0
163,ar-condicionado,2500.0,Eletrodomésticos,3,30/07/2025,Balneário Camboriú,7500.0
3448,smartwatch,1000.0,Smartphones e Acessórios,4,30/07/2025,Belo Horizonte,4000.0
9611,monitor,1500.0,Informática e Periféricos,1,30/07/2025,Rio de Janeiro,1500.0
5151,soundbar,1000.0,"TV, Áudio e Vídeo",5,30/07/2025,São Paulo,5000.0
6952,fogao,1500.0,Eletrodomésticos,3,30/07/2025,Joinville,4500.0
9483,notebook,4000.0,Informática e Periféricos,3,30/07/2024,São Paulo,12000.0
101,soundbar,1000.0,"TV, Áudio e Vídeo",3,30/07/2024,Joinville,3000.0
5268,smartwatch,1000.0,Smartphones e Acessórios,4,30/07/2024,Curitiba,4000.0
2366,chromecast,200.0,"TV, Áudio e Vídeo",5,30/07/2024,Belo Horizonte,1000.0
6340,chromecast,200.0,"TV, Áudio e Vídeo",1,30/07/2024,Campinas,200.0
1153,mouse,100.0,Informática e Periféricos,2,30/07/2024,Joinville,200.0
7828,soundbar,1000.0,"TV, Áudio e Vídeo",4,30/06/2025,Curitiba,4000.0
5048,fone de ouvido,200.0,Smartphones e Acessórios,5,30/06/2025,Curitiba,1000.0
4176,soundbar,1000.0,"TV, Áudio e Vídeo",1,30/06/2025,São Paulo,1000.0
3365,smart tv,4000.0,"TV, Áudio e Vídeo",4,30/06/2025,Joinville,16000.0
491,smart tv,4000.0,"TV, Áudio e Vídeo",5,30/06/2025,Campinas,20000.0
1483,monitor,1500.0,Informática e Periféricos,1,30/06/2025,Balneário Camboriú,1500.0
6594,monitor,1500.0,Informática e Periféricos,2,30/06/2025,Balneário Camboriú,3000.0
7196,smartphone,2000.0,Smartphones e Acessórios,5,30/06/2025,Porto Alegre,10000.0
612,monitor,1500.0,Informática e Periféricos,3,30/06/2025,Balneário Camboriú,4500.0
5745,geladeira,5000.0,Eletrodomésticos,5,30/06/2025,Curitiba,25000.0
8192,fone de ouvido,200.0,Smartphones e Acessórios,5,30/06/2025,Campinas,1000.0
8267,mouse,100.0,Informática e Periféricos,5,30/06/2025,Campinas,500.0
5822,smartphone,2000.0,Smartphones e Acessórios,1,30/06/2025,Balneário Camboriú,2000.0
2075,chromecast,200.0,"TV, Áudio e Vídeo",2,30/06/2024,Porto Alegre,400.0
3278,smartphone,2000.0,Smartphones e Acessórios,3,30/06/2024,Santos,6000.0
5623,fone de ouvido,200.0,Smartphones e Acessórios,2,30/06/2024,Joinville,400.0
4106,soundbar,1000.0,"TV, Áudio e Vídeo",5,30/06/2024,Joinville,5000.0
4857,monitor,1500.0,Informática e Periféricos,4,30/06/2024,Campinas,6000.0
8941,fogao,1500.0,Eletrodomésticos,2,30/06/2024,Porto Alegre,3000.0
603,fogao,1500.0,Eletrodomésticos,4,30/06/2024,Porto Alegre,6000.0
9870,geladeira,5000.0,Eletrodomésticos,5,30/06/2024,Balneário Camboriú,25000.0
6521,mouse,100.0,Informática e Periféricos,5,30/06/2024,São Paulo,500.0
5071,geladeira,5000.0,Eletrodomésticos,3,30/06/2024,São Paulo,15000.0
4917,smartwatch,1000.0,Smartphones e Acessórios,5,30/05/2025,Florianópolis,5000.0
2811,fone de ouvido,200.0,Smartphones e Acessórios,3,30/05/2025,Florianópolis,600.0
8907,ar-condicionado,2500.0,Eletrodomésticos,5,30/05/2025,Joinville,12500.0
2603,geladeira,5000.0,Eletrodomésticos,2,30/05/2025,Florianópolis,10000.0
9903,mouse,100.0,Informática e Periféricos,4,30/05/2025,Rio de Janeiro,400.0
3509,geladeira,5000.0,Eletrodomésticos,5,30/05/2025,Florianópolis,25000.0
6762,ar-condicionado,2500.0,Eletrodomésticos,1,30/05/2025,Porto Alegre,2500.0
4224,chromecast,200.0,"TV, Áudio e Vídeo",1,30/05/2025,Florianópolis,200.0
2190,smartwatch,1000.0,Smartphones e Acessórios,2,30/05/2025,Belo Horizonte,2000.0
8918,smartphone,2000.0,Smartphones e Acessórios,3,30/05/2025,Balneário Camboriú,6000.0
7162,monitor,1500.0,Informática e Periféricos,3,30/05/2025,Balneário Camboriú,4500.0
469,carregador,100.0,Smartphones e Acessórios,5,30/05/2025,Balneário Camboriú,500.0
7383,soundbar,1000.0,"TV, Áudio e Vídeo",4,30/05/2025,Santos,4000.0
6703,geladeira,5000.0,Eletrodomésticos,1,30/05/2025,Rio de Janeiro,5000.0
3546,mouse,100.0,Informática e Periféricos,1,30/05/2025,Curitiba,100.0
5524,fogao,1500.0,Eletrodomésticos,3,30/05/2025,São Paulo,4500.0
2806,mouse,100.0,Informática e Periféricos,5,30/05/2024,Rio de Janeiro,500.0
6717,notebook,4000.0,Informática e Periféricos,2,30/05/2024,Balneário Camboriú,8000.0
8482,soundbar,1000.0,"TV, Áudio e Vídeo",5,30/05/2024,Rio de Janeiro,5000.0
1105,geladeira,5000.0,Eletrodomésticos,3,30/05/2024,Balneário Camboriú,15000.0
4070,smartwatch,1000.0,Smartphones e Acessórios,3,30/05/2024,Joinville,3000.0
5290,chromecast,200.0,"TV, Áudio e Vídeo",4,30/05/2024,Santos,800.0
6820,chromecast,200.0,"TV, Áudio e Vídeo",2,30/05/2024,Belo Horizonte,400.0
7552,smart tv,4000.0,"TV, Áudio e Vídeo",4,30/04/2025,Florianópolis,16000.0
4771,carregador,100.0,Smartphones e Acessórios,3,30/04/2025,Campinas,300.0
1595,notebook,4000.0,Informática e Periféricos,4,30/04/2025,Rio de Janeiro,16000.0
9499,monitor,1500.0,Informática e Periféricos,2,30/04/2025,São Paulo,3000.0
2892,notebook,4000.0,Informática e Periféricos,5,30/04/2025,Rio de Janeiro,20000.0
2902,carregador,100.0,Smartphones e Acessórios,3,30/04/2025,Porto Alegre,300.0
7021,ar-condicionado,2500.0,Eletrodomésticos,4,30/04/2025,Rio de Janeiro,10000.0
6157,soundbar,1000.0,"TV, Áudio e Vídeo",4,30/04/2025,Curitiba,4000.0
