"cliente","produto","preco","categoria","quantidade","data"
1615,"micro-ondas","","Eletrodomésticos",1,"2025-12-06"
4276,"chromecast",200,"TV, Áudio e Vídeo",4,"2024-12-23"
1903,"mouse",100,"Informática e Periféricos",5,"2025-02-01"
5780,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-07-25"
4650,"fogao",1500,"Eletrodomésticos",5,"2025-02-06"
1480,"fone de ouvido",200,"Smartphones e Acessórios",3,"2025-03-02"
9159,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-11-22"
9438,"mouse",100,"Informática e Periféricos",4,"2025-03-03"
6202,"fone de ouvido",200,"Smartphones e Acessórios",3,"2024-04-12"
5280,"mouse",100,"Informática e Periféricos",4,"2025-06-15"
786,"carregador",100,"Smartphones e Acessórios",3,"2024-05-10"
8412,"notebook",4000,"Informática e Periféricos",5,"2025-03-25"
5483,"geladeira",5000,"Eletrodomésticos",2,"2026-01-15"
5448,"carregador",100,"Smartphones e Acessórios",2,"2025-10-01"
2931,"smartphone",2000,"Smartphones e Acessórios",4,"2024-07-22"
8756,"fogao",1500,"Eletrodomésticos",4,"2024-07-25"
5235,"micro-ondas","","Eletrodomésticos",5,"2024-06-24"
5619,"notebook",4000,"Informática e Periféricos",4,"2024-11-03"
5508,"chromecast",200,"TV, Áudio e Vídeo",2,"2025-03-20"
4842,"micro-ondas","","Eletrodomésticos",1,"2024-03-13"
4013,"notebook",4000,"Informática e Periféricos",3,"2025-01-25"
7542,"smartwatch",1000,"Smartphones e Acessórios",4,"2024-01-30"
6476,"teclado","","Informática e Periféricos",2,"2024-07-02"
134,"teclado","","Informática e Periféricos",5,"2024-03-25"
335,"notebook",4000,"Informática e Periféricos",2,"2025-06-22"
3492,"smartwatch",1000,"Smartphones e Acessórios",5,"2025-03-07"
4806,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-06-01"
7496,"teclado","","Informática e Periféricos",1,"2024-09-30"
5971,"chromecast",200,"TV, Áudio e Vídeo",5,"2025-02-22"
6938,"fone de ouvido",200,"Smartphones e Acessórios",2,"2024-06-15"
267,"micro-ondas","","Eletrodomésticos",2,"2025-06-01"
1633,"fogao",1500,"Eletrodomésticos",4,"2025-05-05"
9962,"fone de ouvido",200,"Smartphones e Acessórios",2,"2024-03-31"
890,"fone de ouvido",200,"Smartphones e Acessórios",5,"2025-12-04"
9774,"chromecast",200,"TV, Áudio e Vídeo",3,"2024-02-12"
4000,"carregador",100,"Smartphones e Acessórios",3,"2025-05-22"
4416,"geladeira",5000,"Eletrodomésticos",4,"2024-09-19"
2650,"carregador",100,"Smartphones e Acessórios",1,"2025-02-22"
3701,"capinha","","Smartphones e Acessórios",5,"2025-02-09"
9967,"teclado","","Informática e Periféricos",1,"2024-03-12"
8216,"smart tv",4000,"TV, Áudio e Vídeo",3,"2024-10-23"
7915,"carregador",100,"Smartphones e Acessórios",1,"2025-10-19"
9450,"smartphone",2000,"Smartphones e Acessórios",1,"2024-05-13"
101,"micro-ondas","","Eletrodomésticos",1,"2024-08-11"
874,"home theater","","TV, Áudio e Vídeo",2,"2025-09-16"
1965,"notebook",4000,"Informática e Periféricos",2,"2024-12-29"
3927,"notebook",4000,"Informática e Periféricos",1,"2025-08-21"
3223,"smartphone",2000,"Smartphones e Acessórios",5,"2025-12-08"
2256,"capinha","","Smartphones e Acessórios",5,"2024-11-23"
3539,"notebook",4000,"Informática e Periféricos",4,"2025-04-23"
1415,"fone de ouvido",200,"Smartphones e Acessórios",5,"2025-08-14"
5203,"chromecast",200,"TV, Áudio e Vídeo",2,"2025-06-01"
6289,"fone de ouvido",200,"Smartphones e Acessórios",5,"2025-10-29"
505,"fogao",1500,"Eletrodomésticos",3,"2024-10-12"
8116,"chromecast",200,"TV, Áudio e Vídeo",3,"2025-08-27"
2587,"teclado","","Informática e Periféricos",5,"2025-12-09"
9842,"chromecast",200,"TV, Áudio e Vídeo",2,"2024-08-20"
986,"mouse",100,"Informática e Periféricos",1,"2024-06-22"
4495,"smart tv",4000,"TV, Áudio e Vídeo",2,"2024-04-18"
4914,"teclado","","Informática e Periféricos",3,"2024-06-09"
4124,"monitor",1500,"Informática e Periféricos",3,"2025-10-11"
3738,"notebook",4000,"Informática e Periféricos",2,"2024-04-09"
5417,"soundbar",1000,"TV, Áudio e Vídeo",4,"2025-01-22"
3989,"micro-ondas","","Eletrodomésticos",3,"2025-01-11"
4911,"micro-ondas","","Eletrodomésticos",1,"2025-11-05"
9753,"mouse",100,"Informática e Periféricos",4,"2024-03-06"
4324,"mouse",100,"Informática e Periféricos",4,"2025-09-15"
4435,"fone de ouvido",200,"Smartphones e Acessórios",1,"2025-04-11"
8333,"capinha","","Smartphones e Acessórios",2,"2025-03-09"
7317,"capinha","","Smartphones e Acessórios",2,"2025-04-08"
132,"chromecast",200,"TV, Áudio e Vídeo",1,"2025-08-11"
2105,"smartphone",2000,"Smartphones e Acessórios",2,"2024-07-28"
9025,"teclado","","Informática e Periféricos",2,"2024-11-09"
5341,"mouse",100,"Informática e Periféricos",1,"2025-07-28"
2406,"teclado","","Informática e Periféricos",3,"2026-01-14"
8804,"micro-ondas","","Eletrodomésticos",2,"2024-06-18"
3723,"fogao",1500,"Eletrodomésticos",4,"2024-11-14"
8260,"home theater","","TV, Áudio e Vídeo",3,"2025-05-31"
1441,"fone de ouvido",200,"Smartphones e Acessórios",5,"2025-07-29"
3204,"smartphone",2000,"Smartphones e Acessórios",5,"2024-09-22"
1182,"smart tv",4000,"TV, Áudio e Vídeo",3,"2025-11-18"
1739,"ar-condicionado",2500,"Eletrodomésticos",2,"2024-03-28"
7309,"smartwatch",1000,"Smartphones e Acessórios",2,"2025-11-07"
4244,"micro-ondas","","Eletrodomésticos",5,"2025-05-02"
2912,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-01-28"
2880,"capinha","","Smartphones e Acessórios",4,"2024-03-28"
1048,"smart tv",4000,"TV, Áudio e Vídeo",5,"2025-01-21"
4567,"smartwatch",1000,"Smartphones e Acessórios",1,"2025-12-11"
6528,"smartwatch",1000,"Smartphones e Acessórios",1,"2025-04-10"
1289,"mouse",100,"Informática e Periféricos",4,"2024-07-03"
9559,"geladeira",5000,"Eletrodomésticos",5,"2025-08-01"
4761,"geladeira",5000,"Eletrodomésticos",2,"2025-12-09"
1408,"micro-ondas","","Eletrodomésticos",1,"2024-06-01"
7053,"micro-ondas","","Eletrodomésticos",4,"2025-06-18"
362,"notebook",4000,"Informática e Periféricos",5,"2024-07-03"
308,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-03-30"
5969,"geladeira",5000,"Eletrodomésticos",2,"2025-09-05"
8872,"smartwatch",1000,"Smartphones e Acessórios",4,"2024-04-05"
6254,"capinha","","Smartphones e Acessórios",3,"2024-02-16"
7259,"smart tv",4000,"TV, Áudio e Vídeo",3,"2025-05-27"
2218,"micro-ondas","","Eletrodomésticos",1,"2025-10-16"
874,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-12-21"
6464,"ar-condicionado",2500,"Eletrodomésticos",3,"2024-03-15"
608,"carregador",100,"Smartphones e Acessórios",3,"2024-09-06"
7909,"mouse",100,"Informática e Periféricos",4,"2024-03-24"
8288,"soundbar",1000,"TV, Áudio e Vídeo",2,"2025-05-05"
4104,"fogao",1500,"Eletrodomésticos",4,"2025-11-29"
4942,"capinha","","Smartphones e Acessórios",2,"2025-06-20"
5468,"chromecast",200,"TV, Áudio e Vídeo",4,"2025-01-23"
2932,"geladeira",5000,"Eletrodomésticos",2,"2024-08-09"
7644,"capinha","","Smartphones e Acessórios",3,"2025-04-02"
511,"capinha","","Smartphones e Acessórios",4,"2024-12-09"
3506,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-02-20"
5174,"smartwatch",1000,"Smartphones e Acessórios",4,"2024-10-31"
8201,"teclado","","Informática e Periféricos",5,"2025-07-17"
7990,"teclado","","Informática e Periféricos",4,"2024-01-28"
9829,"mouse",100,"Informática e Periféricos",2,"2024-05-23"
1999,"smartwatch",1000,"Smartphones e Acessórios",4,"2024-06-08"
2411,"soundbar",1000,"TV, Áudio e Vídeo",5,"2024-10-03"
4314,"fogao",1500,"Eletrodomésticos",2,"2024-10-23"
471,"teclado","","Informática e Periféricos",4,"2025-12-17"
8538,"mouse",100,"Informática e Periféricos",4,"2025-05-23"
9261,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-07-25"
7601,"mouse",100,"Informática e Periféricos",3,"2024-02-13"
6064,"fogao",1500,"Eletrodomésticos",2,"2024-04-07"
2028,"home theater","","TV, Áudio e Vídeo",1,"2025-05-08"
8183,"fogao",1500,"Eletrodomésticos",3,"2025-09-18"
1400,"smartphone",2000,"Smartphones e Acessórios",4,"2024-07-09"
9079,"mouse",100,"Informática e Periféricos",5,"2024-07-23"
1454,"smartwatch",1000,"Smartphones e Acessórios",1,"2024-03-07"
8627,"soundbar",1000,"TV, Áudio e Vídeo",1,"2025-08-11"
8704,"ar-condicionado",2500,"Eletrodomésticos",4,"2025-02-10"
3266,"geladeira",5000,"Eletrodomésticos",4,"2025-03-25"
5438,"chromecast",200,"TV, Áudio e Vídeo",5,"2024-09-02"
4332,"home theater","","TV, Áudio e Vídeo",3,"2024-07-26"
3881,"capinha","","Smartphones e Acessórios",5,"2025-09-25"
5195,"mouse",100,"Informática e Periféricos",4,"2024-05-30"
9904,"ar-condicionado",2500,"Eletrodomésticos",3,"2026-01-21"
2973,"ar-condicionado",2500,"Eletrodomésticos",4,"2025-09-14"
4860,"fogao",1500,"Eletrodomésticos",4,"2025-11-20"
4183,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-08-06"
9457,"smartwatch",1000,"Smartphones e Acessórios",2,"2024-05-20"
7921,"ar-condicionado",2500,"Eletrodomésticos",4,"2025-02-01"
4428,"micro-ondas","","Eletrodomésticos",2,"2025-10-03"
9183,"chromecast",200,"TV, Áudio e Vídeo",4,"2025-09-30"
2744,"chromecast",200,"TV, Áudio e Vídeo",1,"2025-02-09"
9104,"ar-condicionado",2500,"Eletrodomésticos",2,"2024-06-17"
8741,"notebook",4000,"Informática e Periféricos",3,"2025-02-04"
5540,"smartwatch",1000,"Smartphones e Acessórios",5,"2025-03-04"
1186,"geladeira",5000,"Eletrodomésticos",2,"2024-11-28"
2460,"fone de ouvido",200,"Smartphones e Acessórios",5,"2024-03-14"
5312,"geladeira",5000,"Eletrodomésticos",3,"2024-09-27"
4280,"soundbar",1000,"TV, Áudio e Vídeo",3,"2024-06-05"
3625,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-06-08"
4249,"notebook",4000,"Informática e Periféricos",1,"2024-04-22"
8747,"chromecast",200,"TV, Áudio e Vídeo",3,"2024-04-10"
5290,"smartwatch",1000,"Smartphones e Acessórios",2,"2025-11-30"
8099,"chromecast",200,"TV, Áudio e Vídeo",2,"2025-12-07"
8985,"smart tv",4000,"TV, Áudio e Vídeo",3,"2024-04-16"
4850,"smartwatch",1000,"Smartphones e Acessórios",2,"2026-01-06"
441,"mouse",100,"Informática e Periféricos",3,"2026-01-02"
6968,"mouse",100,"Informática e Periféricos",1,"2024-03-13"
2987,"carregador",100,"Smartphones e Acessórios",2,"2024-08-23"
1666,"mouse",100,"Informática e Periféricos",4,"2025-02-05"
2823,"smartphone",2000,"Smartphones e Acessórios",3,"2024-08-13"
8389,"fone de ouvido",200,"Smartphones e Acessórios",5,"2025-10-30"
866,"fogao",1500,"Eletrodomésticos",3,"2025-07-28"
1184,"geladeira",5000,"Eletrodomésticos",5,"2024-06-08"
5260,"geladeira",5000,"Eletrodomésticos",5,"2025-09-17"
1881,"smart tv",4000,"TV, Áudio e Vídeo",3,"2025-06-05"
8722,"fogao",1500,"Eletrodomésticos",5,"2024-02-20"
2588,"fone de ouvido",200,"Smartphones e Acessórios",1,"2024-04-18"
8707,"capinha","","Smartphones e Acessórios",3,"2025-11-30"
2015,"ar-condicionado",2500,"Eletrodomésticos",4,"2024-03-13"
7724,"teclado","","Informática e Periféricos",1,"2024-04-06"
7071,"mouse",100,"Informática e Periféricos",5,"2024-08-23"
1591,"smartwatch",1000,"Smartphones e Acessórios",2,"2024-09-27"
7034,"chromecast",200,"TV, Áudio e Vídeo",4,"2024-05-23"
9961,"mouse",100,"Informática e Periféricos",3,"2025-11-02"
661,"smart tv",4000,"TV, Áudio e Vídeo",2,"2025-08-14"
8126,"monitor",1500,"Informática e Periféricos",5,"2025-03-07"
9624,"carregador",100,"Smartphones e Acessórios",4,"2025-02-24"
2123,"soundbar",1000,"TV, Áudio e Vídeo",4,"2025-03-25"
8493,"ar-condicionado",2500,"Eletrodomésticos",4,"2026-01-20"
5898,"smartwatch",1000,"Smartphones e Acessórios",3,"2025-01-10"
6052,"teclado","","Informática e Periféricos",3,"2025-04-21"
9589,"notebook",4000,"Informática e Periféricos",1,"2024-02-18"
2423,"monitor",1500,"Informática e Periféricos",1,"2024-12-15"
5621,"fone de ouvido",200,"Smartphones e Acessórios",4,"2024-03-16"
251,"micro-ondas","","Eletrodomésticos",3,"2024-05-08"
2043,"capinha","","Smartphones e Acessórios",1,"2024-03-30"
2018,"chromecast",200,"TV, Áudio e Vídeo",3,"2025-08-15"
6608,"monitor",1500,"Informática e Periféricos",2,"2026-01-14"
3520,"smartphone",2000,"Smartphones e Acessórios",5,"2025-09-21"
4809,"micro-ondas","","Eletrodomésticos",2,"2024-02-17"
549,"capinha","","Smartphones e Acessórios",2,"2024-06-15"
5163,"smartwatch",1000,"Smartphones e Acessórios",2,"2025-11-08"
6912,"home theater","","TV, Áudio e Vídeo",2,"2026-01-22"
1786,"smartphone",2000,"Smartphones e Acessórios",5,"2025-04-29"
125,"smartwatch",1000,"Smartphones e Acessórios",1,"2025-06-04"
7356,"capinha","","Smartphones e Acessórios",2,"2024-09-29"
3746,"fone de ouvido",200,"Smartphones e Acessórios",2,"2025-02-05"
5951,"micro-ondas","","Eletrodomésticos",2,"2025-07-16"
2740,"smartphone",2000,"Smartphones e Acessórios",2,"2025-10-30"
7797,"home theater","","TV, Áudio e Vídeo",1,"2024-07-29"
1431,"fone de ouvido",200,"Smartphones e Acessórios",4,"2025-04-09"
5104,"notebook",4000,"Informática e Periféricos",2,"2024-08-05"
9707,"ar-condicionado",2500,"Eletrodomésticos",3,"2025-04-02"
1400,"smartwatch",1000,"Smartphones e Acessórios",4,"2024-06-18"
1395,"fogao",1500,"Eletrodomésticos",4,"2025-04-11"
5370,"chromecast",200,"TV, Áudio e Vídeo",1,"2025-01-20"
1978,"smartphone",2000,"Smartphones e Acessórios",3,"2025-02-23"
8144,"notebook",4000,"Informática e Periféricos",3,"2025-08-06"
9300,"ar-condicionado",2500,"Eletrodomésticos",4,"2025-01-05"
1554,"mouse",100,"Informática e Periféricos",1,"2025-10-11"
3055,"notebook",4000,"Informática e Periféricos",4,"2025-10-26"
2482,"smartwatch",1000,"Smartphones e Acessórios",4,"2025-09-04"
225,"notebook",4000,"Informática e Periféricos",3,"2025-08-13"
9835,"smart tv",4000,"TV, Áudio e Vídeo",3,"2025-02-18"
2107,"home theater","","TV, Áudio e Vídeo",5,"2025-12-28"
2530,"smartphone",2000,"Smartphones e Acessórios",5,"2024-04-22"
2255,"fogao",1500,"Eletrodomésticos",3,"2025-06-05"
8807,"monitor",1500,"Informática e Periféricos",2,"2024-05-09"
5600,"fone de ouvido",200,"Smartphones e Acessórios",4,"2024-07-11"
8288,"ar-condicionado",2500,"Eletrodomésticos",3,"2025-04-08"
9226,"smartphone",2000,"Smartphones e Acessórios",5,"2025-01-18"
7756,"notebook",4000,"Informática e Periféricos",2,"2024-03-03"
3731,"monitor",1500,"Informática e Periféricos",3,"2026-01-23"
4602,"fone de ouvido",200,"Smartphones e Acessórios",4,"2024-11-01"
9109,"smartphone",2000,"Smartphones e Acessórios",4,"2024-08-12"
5421,"soundbar",1000,"TV, Áudio e Vídeo",5,"2025-04-15"
8096,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-07-05"
1880,"fogao",1500,"Eletrodomésticos",4,"2025-08-04"
7695,"fogao",1500,"Eletrodomésticos",4,"2025-02-17"
9831,"home theater","","TV, Áudio e Vídeo",5,"2024-08-20"
8099,"home theater","","TV, Áudio e Vídeo",4,"2024-07-09"
7584,"fogao",1500,"Eletrodomésticos",2,"2024-05-04"
1203,"teclado","","Informática e Periféricos",3,"2025-10-20"
9675,"monitor",1500,"Informática e Periféricos",4,"2025-11-27"
100,"ar-condicionado",2500,"Eletrodomésticos",5,"2024-08-22"
6782,"micro-ondas","","Eletrodomésticos",1,"2025-09-16"
7660,"smartwatch",1000,"Smartphones e Acessórios",5,"2024-06-25"
7471,"monitor",1500,"Informática e Periféricos",1,"2024-12-15"
2019,"smartphone",2000,"Smartphones e Acessórios",4,"2025-03-23"
6917,"smartphone",2000,"Smartphones e Acessórios",5,"2025-06-24"
2645,"fone de ouvido",200,"Smartphones e Acessórios",5,"2024-06-07"
9126,"ar-condicionado",2500,"Eletrodomésticos",5,"2025-09-10"
5043,"soundbar",1000,"TV, Áudio e Vídeo",5,"2025-04-21"
7702,"teclado","","Informática e Periféricos",3,"2024-10-04"
9161,"capinha","","Smartphones e Acessórios",5,"2025-10-16"
407,"ar-condicionado",2500,"Eletrodomésticos",5,"2024-08-14"
5638,"smartphone",2000,"Smartphones e Acessórios",5,"2024-11-05"
4438,"micro-ondas","","Eletrodomésticos",1,"2025-08-26"
6025,"smart tv",4000,"TV, Áudio e Vídeo",5,"2025-04-08"
8690,"carregador",100,"Smartphones e Acessórios",3,"2025-02-17"
6515,"soundbar",1000,"TV, Áudio e Vídeo",5,"2024-06-11"
931,"smartphone",2000,"Smartphones e Acessórios",2,"2025-11-20"
5031,"carregador",100,"Smartphones e Acessórios",4,"2025-01-22"
6143,"notebook",4000,"Informática e Periféricos",3,"2025-09-01"
8089,"teclado","","Informática e Periféricos",4,"2024-10-05"
544,"micro-ondas","","Eletrodomésticos",1,"2025-04-19"
1957,"carregador",100,"Smartphones e Acessórios",5,"2025-08-31"
8065,"geladeira",5000,"Eletrodomésticos",4,"2024-06-23"
2263,"capinha","","Smartphones e Acessórios",1,"2025-02-07"
6209,"geladeira",5000,"Eletrodomésticos",2,"2025-02-08"
255,"capinha","","Smartphones e Acessórios",2,"2024-03-21"
6873,"chromecast",200,"TV, Áudio e Vídeo",5,"2025-08-09"
1485,"teclado","","Informática e Periféricos",3,"2025-08-30"
7195,"smartphone",2000,"Smartphones e Acessórios",2,"2026-01-16"
2339,"chromecast",200,"TV, Áudio e Vídeo",3,"2025-07-05"
2698,"fogao",1500,"Eletrodomésticos",1,"2025-01-27"
8181,"smartphone",2000,"Smartphones e Acessórios",2,"2025-07-27"
9993,"capinha","","Smartphones e Acessórios",5,"2025-11-27"
2009,"home theater","","TV, Áudio e Vídeo",5,"2025-11-03"
4391,"smart tv",4000,"TV, Áudio e Vídeo",3,"2025-02-22"
4090,"notebook",4000,"Informática e Periféricos",4,"2025-10-25"
400,"teclado","","Informática e Periféricos",2,"2025-10-15"
7551,"mouse",100,"Informática e Periféricos",1,"2024-02-27"
105,"smartphone",2000,"Smartphones e Acessórios",5,"2024-06-20"
9108,"teclado","","Informática e Periféricos",5,"2024-07-01"
5147,"soundbar",1000,"TV, Áudio e Vídeo",1,"2024-01-25"
5051,"smartwatch",1000,"Smartphones e Acessórios",5,"2025-09-23"
7384,"micro-ondas","","Eletrodomésticos",1,"2024-10-04"
5575,"notebook",4000,"Informática e Periféricos",2,"2026-01-16"
1960,"home theater","","TV, Áudio e Vídeo",2,"2024-05-16"
3608,"monitor",1500,"Informática e Periféricos",4,"2025-05-07"
3025,"geladeira",5000,"Eletrodomésticos",5,"2025-04-27"
1693,"fone de ouvido",200,"Smartphones e Acessórios",2,"2024-09-27"
1879,"soundbar",1000,"TV, Áudio e Vídeo",3,"2024-04-20"
6079,"smartphone",2000,"Smartphones e Acessórios",4,"2025-03-13"
3609,"geladeira",5000,"Eletrodomésticos",3,"2025-07-16"
4371,"home theater","","TV, Áudio e Vídeo",2,"2024-08-28"
5520,"smartwatch",1000,"Smartphones e Acessórios",1,"2026-01-09"
3843,"ar-condicionado",2500,"Eletrodomésticos",3,"2024-08-31"
1021,"carregador",100,"Smartphones e Acessórios",1,"2024-10-16"
6000,"carregador",100,"Smartphones e Acessórios",3,"2024-03-10"
958,"capinha","","Smartphones e Acessórios",2,"2025-11-09"
1669,"fone de ouvido",200,"Smartphones e Acessórios",4,"2025-12-17"
6040,"home theater","","TV, Áudio e Vídeo",3,"2025-08-26"
8760,"fogao",1500,"Eletrodomésticos",3,"2024-03-17"
364,"smartphone",2000,"Smartphones e Acessórios",2,"2024-02-01"
3875,"chromecast",200,"TV, Áudio e Vídeo",4,"2024-06-25"
161,"capinha","","Smartphones e Acessórios",1,"2024-10-25"
5403,"fogao",1500,"Eletrodomésticos",2,"2025-09-30"
1438,"micro-ondas","","Eletrodomésticos",2,"2025-02-05"
6217,"geladeira",5000,"Eletrodomésticos",2,"2025-01-10"
3701,"chromecast",200,"TV, Áudio e Vídeo",4,"2024-07-12"
3050,"capinha","","Smartphones e Acessórios",2,"2024-02-21"
4394,"notebook",4000,"Informática e Periféricos",3,"2025-01-01"
4809,"monitor",1500,"Informática e Periféricos",1,"2026-01-22"
2188,"fogao",1500,"Eletrodomésticos",4,"2024-09-28"
9425,"teclado","","Informática e Periféricos",1,"2024-10-16"
3157,"fogao",1500,"Eletrodomésticos",2,"2024-05-21"
4114,"notebook",4000,"Informática e Periféricos",4,"2024-06-11"
3646,"micro-ondas","","Eletrodomésticos",4,"2025-05-07"
3665,"teclado","","Informática e Periféricos",2,"2024-03-09"
1061,"home theater","","TV, Áudio e Vídeo",5,"2024-12-01"
7195,"smartphone",2000,"Smartphones e Acessórios",5,"2024-03-29"
8897,"chromecast",200,"TV, Áudio e Vídeo",4,"2024-06-23"
3247,"soundbar",1000,"TV, Áudio e Vídeo",4,"2025-08-16"
1373,"capinha","","Smartphones e Acessórios",4,"2025-08-19"
8578,"notebook",4000,"Informática e Periféricos",4,"2025-05-22"
6025,"mouse",100,"Informática e Periféricos",4,"2025-01-28"
598,"ar-condicionado",2500,"Eletrodomésticos",2,"2024-02-01"
1616,"smartwatch",1000,"Smartphones e Acessórios",4,"2025-12-07"
4301,"chromecast",200,"TV, Áudio e Vídeo",2,"2024-12-26"
3928,"monitor",1500,"Informática e Periféricos",4,"2025-07-10"
1220,"smartphone",2000,"Smartphones e Acessórios",2,"2025-03-24"
2819,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-08-25"
4070,"smart tv",4000,"TV, Áudio e Vídeo",2,"2025-05-27"
4125,"geladeira",5000,"Eletrodomésticos",1,"2024-10-05"
5688,"soundbar",1000,"TV, Áudio e Vídeo",3,"2024-08-19"
8080,"smart tv",4000,"TV, Áudio e Vídeo",1,"2024-12-05"
6223,"mouse",100,"Informática e Periféricos",4,"2025-09-02"
3113,"smartwatch",1000,"Smartphones e Acessórios",5,"2024-09-11"
1315,"soundbar",1000,"TV, Áudio e Vídeo",1,"2025-03-24"
4505,"ar-condicionado",2500,"Eletrodomésticos",1,"2024-10-30"
9738,"micro-ondas","","Eletrodomésticos",1,"2024-10-27"
3002,"micro-ondas","","Eletrodomésticos",1,"2025-09-12"
5834,"monitor",1500,"Informática e Periféricos",4,"2025-10-11"
4963,"micro-ondas","","Eletrodomésticos",5,"2025-03-10"
4858,"smartwatch",1000,"Smartphones e Acessórios",1,"2025-06-18"
7833,"micro-ondas","","Eletrodomésticos",5,"2025-09-04"
7128,"home theater","","TV, Áudio e Vídeo",2,"2025-10-25"
8058,"mouse",100,"Informática e Periféricos",3,"2025-10-17"
994,"mouse",100,"Informática e Periféricos",2,"2025-02-16"
6668,"micro-ondas","","Eletrodomésticos",2,"2024-03-03"
6423,"fogao",1500,"Eletrodomésticos",2,"2025-07-28"
1320,"soundbar",1000,"TV, Áudio e Vídeo",3,"2025-04-13"
4679,"micro-ondas","","Eletrodomésticos",2,"2024-10-13"
376,"capinha","","Smartphones e Acessórios",4,"2025-11-26"
7033,"teclado","","Informática e Periféricos",5,"2024-09-30"
9987,"smartphone",2000,"Smartphones e Acessórios",1,"2024-12-23"
5189,"smartwatch",1000,"Smartphones e Acessórios",5,"2024-06-06"
2626,"notebook",4000,"Informática e Periféricos",5,"2025-08-11"
9002,"smartwatch",1000,"Smartphones e Acessórios",1,"2024-03-15"
4320,"notebook",4000,"Informática e Periféricos",1,"2024-10-22"
6111,"home theater","","TV, Áudio e Vídeo",2,"2024-06-03"
1275,"capinha","","Smartphones e Acessórios",2,"2025-10-30"
2539,"smartwatch",1000,"Smartphones e Acessórios",5,"2025-03-16"
9415,"smartphone",2000,"Smartphones e Acessórios",2,"2024-04-26"
8951,"micro-ondas","","Eletrodomésticos",4,"2024-07-14"
3842,"fogao",1500,"Eletrodomésticos",5,"2025-04-03"
1605,"home theater","","TV, Áudio e Vídeo",5,"2025-05-22"
3760,"chromecast",200,"TV, Áudio e Vídeo",3,"2025-04-10"
