"cliente","produto","preco","categoria","quantidade","data","cidade"
1250,"mouse",100.0,"Informática e Periféricos",2,"2025-10-09","Campinas"
3884,"capinha","","Smartphones e Acessórios",1,"2024-03-18","Curitiba"
2639,"home theater","","TV, Áudio e Vídeo",4,"2024-10-17","Joinville"
5011,"fogao",1500.0,"Eletrodomésticos",3,"2025-04-04","Curitiba"
9220,"micro-ondas","","Eletrodomésticos",1,"2025-12-28","Rio de Janeiro"
861,"capinha","","Smartphones e Acessórios",3,"2025-06-01","Rio de Janeiro"
2077,"chromecast",200.0,"TV, Áudio e Vídeo",1,"2024-03-18","Belo Horizonte"
4397,"geladeira",5000.0,"Eletrodomésticos",5,"2024-11-11","Florianópolis"
7307,"smartwatch",1000.0,"Smartphones e Acessórios",5,"2025-09-18","Curitiba"
1940,"fogao",1500.0,"Eletrodomésticos",3,"2024-12-04","Joinville"
7853,"fone de ouvido",200.0,"Smartphones e Acessórios",3,"2024-12-24","Campinas"
8192,"ar-condicionado",2500.0,"Eletrodomésticos",5,"2024-02-25","Florianópolis"
4704,"micro-ondas","","Eletrodomésticos",1,"2025-05-12","Curitiba"
3768,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2024-02-01","Santos"
1082,"smartwatch",1000.0,"Smartphones e Acessórios",2,"2025-11-27","Porto Alegre"
667,"ar-condicionado",2500.0,"Eletrodomésticos",1,"2025-01-08","Belo Horizonte"
7136,"home theater","","TV, Áudio e Vídeo",1,"2025-02-05","Santos"
6724,"smart tv",4000.0,"TV, Áudio e Vídeo",5,"2025-02-17","Belo Horizonte"
5203,"monitor",1500.0,"Informática e Periféricos",5,"2025-10-01","Joinville"
8666,"capinha","","Smartphones e Acessórios",1,"2025-08-04","Santos"
8377,"carregador",100.0,"Smartphones e Acessórios",5,"2025-05-01","São Paulo"
8050,"micro-ondas","","Eletrodomésticos",3,"2024-12-15","Balneário Camboriú"
5721,"fogao",1500.0,"Eletrodomésticos",4,"2024-05-13","Belo Horizonte"
1775,"smartwatch",1000.0,"Smartphones e Acessórios",1,"2025-11-06","Balneário Camboriú"
7339,"carregador",100.0,"Smartphones e Acessórios",3,"2026-01-15","Campinas"
8576,"soundbar",1000.0,"TV, Áudio e Vídeo",1,"2025-05-18","Rio de Janeiro"
802,"carregador",100.0,"Smartphones e Acessórios",1,"2024-10-28","Joinville"
8701,"smartphone",2000.0,"Smartphones e Acessórios",1,"2025-01-31","Florianópolis"
6317,"smartwatch",1000.0,"Smartphones e Acessórios",1,"2025-06-26","Florianópolis"
3836,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2025-01-18","Curitiba"
8667,"monitor",1500.0,"Informática e Periféricos",3,"2025-10-13","Santos"
8346,"smartphone",2000.0,"Smartphones e Acessórios",5,"2025-09-28","Campinas"
9510,"carregador",100.0,"Smartphones e Acessórios",5,"2025-03-09","Curitiba"
4300,"monitor",1500.0,"Informática e Periféricos",4,"2025-11-09","Rio de Janeiro"
7958,"fone de ouvido",200.0,"Smartphones e Acessórios",2,"2024-12-22","Balneário Camboriú"
6442,"teclado","","Informática e Periféricos",4,"2024-03-08","Florianópolis"
6545,"smart tv",4000.0,"TV, Áudio e Vídeo",2,"2024-06-28","Belo Horizonte"
9179,"teclado","","Informática e Periféricos",1,"2025-12-26","Rio de Janeiro"
394,"smart tv",4000.0,"TV, Áudio e Vídeo",5,"2025-01-28","Balneário Camboriú"
2444,"geladeira",5000.0,"Eletrodomésticos",2,"2025-05-19","Campinas"
8239,"monitor",1500.0,"Informática e Periféricos",3,"2024-07-01","Joinville"
899,"capinha","","Smartphones e Acessórios",3,"2025-03-23","Porto Alegre"
8763,"carregador",100.0,"Smartphones e Acessórios",3,"2024-11-30","Porto Alegre"
7106,"ar-condicionado",2500.0,"Eletrodomésticos",4,"2025-12-20","São Paulo"
3255,"home theater","","TV, Áudio e Vídeo",4,"2025-09-11","Campinas"
9412,"teclado","","Informática e Periféricos",4,"2024-07-06","Belo Horizonte"
8884,"mouse",100.0,"Informática e Periféricos",5,"2026-01-23","São Paulo"
1474,"monitor",1500.0,"Informática e Periféricos",1,"2024-07-07","Curitiba"
1091,"monitor",1500.0,"Informática e Periféricos",1,"2025-09-05","São Paulo"
1239,"mouse",100.0,"Informática e Periféricos",3,"2024-11-18","Porto Alegre"
4139,"mouse",100.0,"Informática e Periféricos",2,"2025-11-02","Balneário Camboriú"
4996,"chromecast",200.0,"TV, Áudio e Vídeo",2,"2024-06-05","Curitiba"
8126,"home theater","","TV, Áudio e Vídeo",4,"2024-04-06","Joinville"
942,"smartphone",2000.0,"Smartphones e Acessórios",2,"2024-08-13","Curitiba"
609,"geladeira",5000.0,"Eletrodomésticos",3,"2024-07-28","Santos"
9611,"capinha","","Smartphones e Acessórios",3,"2024-05-28","Joinville"
4161,"teclado","","Informática e Periféricos",4,"2024-07-27","Joinville"
154,"soundbar",1000.0,"TV, Áudio e Vídeo",2,"2024-04-11","Joinville"
6414,"smartphone",2000.0,"Smartphones e Acessórios",3,"2025-06-10","Balneário Camboriú"
410,"smartphone",2000.0,"Smartphones e Acessórios",1,"2025-02-12","Florianópolis"
629,"geladeira",5000.0,"Eletrodomésticos",3,"2024-12-03","Porto Alegre"
2948,"ar-condicionado",2500.0,"Eletrodomésticos",5,"2025-06-03","São Paulo"
7922,"chromecast",200.0,"TV, Áudio e Vídeo",2,"2025-01-11","Curitiba"
6036,"chromecast",200.0,"TV, Áudio e Vídeo",5,"2024-12-15","Rio de Janeiro"
7914,"mouse",100.0,"Informática e Periféricos",5,"2024-11-12","Porto Alegre"
4101,"geladeira",5000.0,"Eletrodomésticos",1,"2025-10-26","Balneário Camboriú"
8938,"capinha","","Smartphones e Acessórios",5,"2024-07-29","Porto Alegre"
2244,"notebook",4000.0,"Informática e Periféricos",4,"2025-03-26","Belo Horizonte"
1120,"home theater","","TV, Áudio e Vídeo",4,"2024-10-15","Florianópolis"
4761,"capinha","","Smartphones e Acessórios",4,"2024-12-04","Rio de Janeiro"
3624,"teclado","","Informática e Periféricos",5,"2024-01-30","Santos"
5373,"capinha","","Smartphones e Acessórios",3,"2024-02-01","Joinville"
5167,"monitor",1500.0,"Informática e Periféricos",1,"2025-08-07","Rio de Janeiro"
5673,"soundbar",1000.0,"TV, Áudio e Vídeo",2,"2025-08-12","Joinville"
3477,"smartphone",2000.0,"Smartphones e Acessórios",4,"2025-05-14","Campinas"
6830,"smartphone",2000.0,"Smartphones e Acessórios",5,"2024-07-16","Balneário Camboriú"
218,"smart tv",4000.0,"TV, Áudio e Vídeo",3,"2024-12-27","Santos"
2084,"mouse",100.0,"Informática e Periféricos",3,"2025-04-13","Joinville"
7369,"carregador",100.0,"Smartphones e Acessórios",3,"2024-07-21","Joinville"
2486,"carregador",100.0,"Smartphones e Acessórios",3,"2024-06-29","Curitiba"
8291,"notebook",4000.0,"Informática e Periféricos",3,"2024-10-29","Joinville"
678,"teclado","","Informática e Periféricos",2,"2025-12-15","Porto Alegre"
8306,"capinha","","Smartphones e Acessórios",3,"2025-11-25","Porto Alegre"
6277,"fogao",1500.0,"Eletrodomésticos",3,"2025-12-09","Santos"
6787,"smartphone",2000.0,"Smartphones e Acessórios",2,"2025-03-10","Florianópolis"
3927,"fogao",1500.0,"Eletrodomésticos",3,"2025-06-21","Rio de Janeiro"
9879,"fone de ouvido",200.0,"Smartphones e Acessórios",3,"2024-12-27","Belo Horizonte"
719,"home theater","","TV, Áudio e Vídeo",3,"2024-12-21","Belo Horizonte"
8511,"capinha","","Smartphones e Acessórios",5,"2025-08-25","Belo Horizonte"
2206,"chromecast",200.0,"TV, Áudio e Vídeo",3,"2025-07-25","São Paulo"
9407,"notebook",4000.0,"Informática e Periféricos",1,"2025-10-15","Rio de Janeiro"
5526,"teclado","","Informática e Periféricos",5,"2025-07-17","Florianópolis"
2048,"capinha","","Smartphones e Acessórios",2,"2024-08-19","São Paulo"
1773,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2025-08-31","Rio de Janeiro"
5113,"geladeira",5000.0,"Eletrodomésticos",1,"2025-02-25","Curitiba"
4944,"home theater","","TV, Áudio e Vídeo",1,"2024-12-22","Balneário Camboriú"
8829,"smartwatch",1000.0,"Smartphones e Acessórios",1,"2025-05-10","Balneário Camboriú"
2340,"fone de ouvido",200.0,"Smartphones e Acessórios",5,"2024-12-03","Belo Horizonte"
6459,"carregador",100.0,"Smartphones e Acessórios",3,"2025-12-04","Florianópolis"
2871,"smartphone",2000.0,"Smartphones e Acessórios",1,"2024-05-05","Campinas"
2371,"fone de ouvido",200.0,"Smartphones e Acessórios",1,"2024-04-21","Curitiba"
9755,"carregador",100.0,"Smartphones e Acessórios",3,"2024-08-26","Campinas"
3728,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2025-01-28","Santos"
4350,"capinha","","Smartphones e Acessórios",2,"2024-09-27","São Paulo"
4318,"notebook",4000.0,"Informática e Periféricos",3,"2025-05-25","Curitiba"
9727,"chromecast",200.0,"TV, Áudio e Vídeo",4,"2024-04-20","Joinville"
6342,"mouse",100.0,"Informática e Periféricos",1,"2024-04-13","Balneário Camboriú"
8236,"soundbar",1000.0,"TV, Áudio e Vídeo",1,"2025-09-01","Curitiba"
5546,"smartwatch",1000.0,"Smartphones e Acessórios",5,"2024-08-17","Rio de Janeiro"
6116,"smart tv",4000.0,"TV, Áudio e Vídeo",4,"2024-10-15","Rio de Janeiro"
9838,"fogao",1500.0,"Eletrodomésticos",4,"2025-11-09","Porto Alegre"
7435,"soundbar",1000.0,"TV, Áudio e Vídeo",2,"2025-07-22","Campinas"
9285,"capinha","","Smartphones e Acessórios",4,"2024-02-28","Porto Alegre"
9788,"micro-ondas","","Eletrodomésticos",2,"2024-12-10","Joinville"
4579,"monitor",1500.0,"Informática e Periféricos",3,"2024-07-15","São Paulo"
3963,"notebook",4000.0,"Informática e Periféricos",5,"2025-08-17","São Paulo"
9382,"chromecast",200.0,"TV, Áudio e Vídeo",5,"2024-03-28","Santos"
6608,"smart tv",4000.0,"TV, Áudio e Vídeo",1,"2025-12-21","Curitiba"
2809,"chromecast",200.0,"TV, Áudio e Vídeo",2,"2024-02-14","Porto Alegre"
7196,"smartphone",2000.0,"Smartphones e Acessórios",4,"2024-10-25","São Paulo"
5453,"monitor",1500.0,"Informática e Periféricos",2,"2024-05-22","Curitiba"
8380,"fogao",1500.0,"Eletrodomésticos",5,"2025-10-23","Florianópolis"
4069,"mouse",100.0,"Informática e Periféricos",1,"2025-05-15","Santos"
1836,"soundbar",1000.0,"TV, Áudio e Vídeo",3,"2025-08-28","Santos"
9180,"geladeira",5000.0,"Eletrodomésticos",4,"2025-04-11","Campinas"
6462,"fone de ouvido",200.0,"Smartphones e Acessórios",1,"2024-02-03","Curitiba"
6299,"micro-ondas","","Eletrodomésticos",3,"2025-11-12","Porto Alegre"
6056,"capinha","","Smartphones e Acessórios",1,"2024-06-17","Belo Horizonte"
7269,"teclado","","Informática e Periféricos",5,"2024-02-23","Porto Alegre"
386,"micro-ondas","","Eletrodomésticos",4,"2026-01-10","Belo Horizonte"
8868,"chromecast",200.0,"TV, Áudio e Vídeo",1,"2024-06-24","Balneário Camboriú"
7287,"smart tv",4000.0,"TV, Áudio e Vídeo",3,"2024-07-18","Belo Horizonte"
2523,"ar-condicionado",2500.0,"Eletrodomésticos",1,"2025-04-16","Campinas"
4802,"fone de ouvido",200.0,"Smartphones e Acessórios",4,"2024-04-03","Balneário Camboriú"
4227,"teclado","","Informática e Periféricos",2,"2024-11-12","Santos"
6066,"chromecast",200.0,"TV, Áudio e Vídeo",4,"2024-08-05","Joinville"
549,"teclado","","Informática e Periféricos",1,"2025-09-02","Santos"
7176,"home theater","","TV, Áudio e Vídeo",5,"2024-08-25","Joinville"
5828,"capinha","","Smartphones e Acessórios",5,"2025-03-22","Joinville"
8928,"smartphone",2000.0,"Smartphones e Acessórios",2,"2024-04-21","Rio de Janeiro"
9424,"smartwatch",1000.0,"Smartphones e Acessórios",1,"2025-12-14","Florianópolis"
4690,"teclado","","Informática e Periféricos",1,"2026-01-09","São Paulo"
5702,"smartwatch",1000.0,"Smartphones e Acessórios",4,"2024-07-29","Santos"
2872,"teclado","","Informática e Periféricos",3,"2024-07-14","Campinas"
342,"fogao",1500.0,"Eletrodomésticos",3,"2025-09-07","Santos"
360,"monitor",1500.0,"Informática e Periféricos",2,"2025-03-31","Rio de Janeiro"
150,"fogao",1500.0,"Eletrodomésticos",5,"2024-07-01","Campinas"
770,"notebook",4000.0,"Informática e Periféricos",2,"2025-06-19","São Paulo"
5579,"micro-ondas","","Eletrodomésticos",3,"2024-03-09","Belo Horizonte"
7693,"ar-condicionado",2500.0,"Eletrodomésticos",3,"2024-05-10","Belo Horizonte"
1415,"home theater","","TV, Áudio e Vídeo",5,"2024-02-03","Joinville"
8106,"geladeira",5000.0,"Eletrodomésticos",4,"2025-06-24","São Paulo"
2491,"home theater","","TV, Áudio e Vídeo",5,"2025-01-23","Belo Horizonte"
3462,"geladeira",5000.0,"Eletrodomésticos",2,"2024-05-13","Porto Alegre"
3227,"teclado","","Informática e Periféricos",2,"2024-12-02","Campinas"
6561,"micro-ondas","","Eletrodomésticos",1,"2024-12-06","São Paulo"
7525,"smartphone",2000.0,"Smartphones e Acessórios",4,"2024-05-11","Belo Horizonte"
2711,"smartphone",2000.0,"Smartphones e Acessórios",2,"2024-09-06","Florianópolis"
1739,"monitor",1500.0,"Informática e Periféricos",5,"2026-01-25","Rio de Janeiro"
2458,"micro-ondas","","Eletrodomésticos",4,"2025-01-07","Florianópolis"
914,"chromecast",200.0,"TV, Áudio e Vídeo",5,"2025-01-28","Joinville"
6811,"teclado","","Informática e Periféricos",5,"2024-01-29","Santos"
1607,"home theater","","TV, Áudio e Vídeo",5,"2024-08-20","Belo Horizonte"
7855,"soundbar",1000.0,"TV, Áudio e Vídeo",5,"2024-12-09","Porto Alegre"
437,"mouse",100.0,"Informática e Periféricos",4,"2025-11-23","Joinville"
7715,"fogao",1500.0,"Eletrodomésticos",4,"2025-03-30","Campinas"
8403,"home theater","","TV, Áudio e Vídeo",2,"2025-08-21","Santos"
6605,"capinha","","Smartphones e Acessórios",1,"2024-08-25","Campinas"
6284,"mouse",100.0,"Informática e Periféricos",5,"2024-06-29","Florianópolis"
5967,"notebook",4000.0,"Informática e Periféricos",5,"2025-11-13","Joinville"
1020,"ar-condicionado",2500.0,"Eletrodomésticos",3,"2024-10-08","Porto Alegre"
2309,"teclado","","Informática e Periféricos",5,"2025-07-20","Porto Alegre"
4007,"home theater","","TV, Áudio e Vídeo",3,"2025-11-01","Rio de Janeiro"
3587,"soundbar",1000.0,"TV, Áudio e Vídeo",3,"2025-03-22","Campinas"
1325,"smartphone",2000.0,"Smartphones e Acessórios",5,"2024-03-11","Florianópolis"
7811,"soundbar",1000.0,"TV, Áudio e Vídeo",4,"2025-04-26","Rio de Janeiro"
9788,"micro-ondas","","Eletrodomésticos",5,"2025-08-01","Porto Alegre"
5499,"soundbar",1000.0,"TV, Áudio e Vídeo",5,"2025-06-03","Joinville"
3463,"ar-condicionado",2500.0,"Eletrodomésticos",2,"2025-12-30","Porto Alegre"
