cliente,produto,preco,categoria,quantidade,data,valor_total
4104,fogao,1500.0,Eletrodomésticos,4,29/11/2025,6000.0
5468,chromecast,200.0,"TV, Áudio e Vídeo",4,23/01/2025,800.0
2932,geladeira,5000.0,Eletrodomésticos,2,09/08/2024,10000.0
3506,ar-condicionado,2500.0,Eletrodomésticos,5,20/02/2025,12500.0
5174,smartwatch,1000.0,Smartphones e Acessórios,4,31/10/2024,4000.0
9829,mouse,100.0,Informática e Periféricos,2,23/05/2024,200.0
1999,smartwatch,1000.0,Smartphones e Acessórios,4,08/06/2024,4000.0
2411,soundbar,1000.0,"TV, Áudio e Vídeo",5,03/10/2024,5000.0
4314,fogao,1500.0,Eletrodomésticos,2,23/10/2024,3000.0
8538,mouse,100.0,Informática e Periféricos,4,23/05/2025,400.0
9261,smart tv,4000.0,"TV, Áudio e Vídeo",1,25/07/2024,4000.0
7601,mouse,100.0,Informática e Periféricos,3,13/02/2024,300.0
6064,fogao,1500.0,Eletrodomésticos,2,07/04/2024,3000.0
8183,fogao,1500.0,Eletrodomésticos,3,18/09/2025,4500.0
1400,smartphone,2000.0,Smartphones e Acessórios,4,09/07/2024,8000.0
9079,mouse,100.0,Informática e Periféricos,5,23/07/2024,500.0
1454,smartwatch,1000.0,Smartphones e Acessórios,1,07/03/2024,1000.0
8627,soundbar,1000.0,"TV, Áudio e Vídeo",1,11/08/2025,1000.0
8704,ar-condicionado,2500.0,Eletrodomésticos,4,10/02/2025,10000.0
3266,geladeira,5000.0,Eletrodomésticos,4,25/03/2025,20000.0
5438,chromecast,200.0,"TV, Áudio e Vídeo",5,02/09/2024,1000.0
5195,mouse,100.0,Informática e Periféricos,4,30/05/2024,400.0
9904,ar-condicionado,2500.0,Eletrodomésticos,3,21/01/2026,7500.0
2973,ar-condicionado,2500.0,Eletrodomésticos,4,14/09/2025,10000.0
4860,fogao,1500.0,Eletrodomésticos,4,20/11/2025,6000.0
4183,smart tv,4000.0,"TV, Áudio e Vídeo",1,06/08/2024,4000.0
9457,smartwatch,1000.0,Smartphones e Acessórios,2,20/05/2024,2000.0
7921,ar-condicionado,2500.0,Eletrodomésticos,4,01/02/2025,10000.0
9183,chromecast,200.0,"TV, Áudio e Vídeo",4,30/09/2025,800.0
2744,chromecast,200.0,"TV, Áudio e Vídeo",1,09/02/2025,200.0
9104,ar-condicionado,2500.0,Eletrodomésticos,2,17/06/2024,5000.0
8741,notebook,4000.0,Informática e Periféricos,3,04/02/2025,12000.0
5540,smartwatch,1000.0,Smartphones e Acessórios,5,04/03/2025,5000.0
1186,geladeira,5000.0,Eletrodomésticos,2,28/11/2024,10000.0
2460,fone de ouvido,200.0,Smartphones e Acessórios,5,14/03/2024,1000.0
5312,geladeira,5000.0,Eletrodomésticos,3,27/09/2024,15000.0
4280,soundbar,1000.0,"TV, Áudio e Vídeo",3,05/06/2024,3000.0
3625,smart tv,4000.0,"TV, Áudio e Vídeo",1,08/06/2024,4000.0
4249,notebook,4000.0,Informática e Periféricos,1,22/04/2024,4000.0
8747,chromecast,200.0,"TV, Áudio e Vídeo",3,10/04/2024,600.0
5290,smartwatch,1000.0,Smartphones e Acessórios,2,30/11/2025,2000.0
8099,chromecast,200.0,"TV, Áudio e Vídeo",2,07/12/2025,400.0
8985,smart tv,4000.0,"TV, Áudio e Vídeo",3,16/04/2024,12000.0
4850,smartwatch,1000.0,Smartphones e Acessórios,2,06/01/2026,2000.0
441,mouse,100.0,Informática e Periféricos,3,02/01/2026,300.0
6968,mouse,100.0,Informática e Periféricos,1,13/03/2024,100.0
2987,carregador,100.0,Smartphones e Acessórios,2,23/08/2024,200.0
1666,mouse,100.0,Informática e Periféricos,4,05/02/2025,400.0
2823,smartphone,2000.0,Smartphones e Acessórios,3,13/08/2024,6000.0
8389,fone de ouvido,200.0,Smartphones e Acessórios,5,30/10/2025,1000.0
866,fogao,1500.0,Eletrodomésticos,3,28/07/2025,4500.0
1184,geladeira,5000.0,Eletrodomésticos,5,08/06/2024,25000.0
5260,geladeira,5000.0,Eletrodomésticos,5,17/09/2025,25000.0
1881,smart tv,4000.0,"TV, Áudio e Vídeo",3,05/06/2025,12000.0
8722,fogao,1500.0,Eletrodomésticos,5,20/02/2024,7500.0
2588,fone de ouvido,200.0,Smartphones e Acessórios,1,18/04/2024,200.0
2015,ar-condicionado,2500.0,Eletrodomésticos,4,13/03/2024,10000.0
7071,mouse,100.0,Informática e Periféricos,5,23/08/2024,500.0
1591,smartwatch,1000.0,Smartphones e Acessórios,2,27/09/2024,2000.0
7034,chromecast,200.0,"TV, Áudio e Vídeo",4,23/05/2024,800.0
9961,mouse,100.0,Informática e Periféricos,3,02/11/2025,300.0
661,smart tv,4000.0,"TV, Áudio e Vídeo",2,14/08/2025,8000.0
8126,monitor,1500.0,Informática e Periféricos,5,07/03/2025,7500.0
9624,carregador,100.0,Smartphones e Acessórios,4,24/02/2025,400.0
2123,soundbar,1000.0,"TV, Áudio e Vídeo",4,25/03/2025,4000.0
8493,ar-condicionado,2500.0,Eletrodomésticos,4,20/01/2026,10000.0
5898,smartwatch,1000.0,Smartphones e Acessórios,3,10/01/2025,3000.0
9589,notebook,4000.0,Informática e Periféricos,1,18/02/2024,4000.0
2423,monitor,1500.0,Informática e Periféricos,1,15/12/2024,1500.0
5621,fone de ouvido,200.0,Smartphones e Acessórios,4,16/03/2024,800.0
2018,chromecast,200.0,"TV, Áudio e Vídeo",3,15/08/2025,600.0
6608,monitor,1500.0,Informática e Periféricos,2,14/01/2026,3000.0
3520,smartphone,2000.0,Smartphones e Acessórios,5,21/09/2025,10000.0
5163,smartwatch,1000.0,Smartphones e Acessórios,2,08/11/2025,2000.0
1786,smartphone,2000.0,Smartphones e Acessórios,5,29/04/2025,10000.0
125,smartwatch,1000.0,Smartphones e Acessórios,1,04/06/2025,1000.0
3746,fone de ouvido,200.0,Smartphones e Acessórios,2,05/02/2025,400.0
2740,smartphone,2000.0,Smartphones e Acessórios,2,30/10/2025,4000.0
1431,fone de ouvido,200.0,Smartphones e Acessórios,4,09/04/2025,800.0
5104,notebook,4000.0,Informática e Periféricos,2,05/08/2024,8000.0
9707,ar-condicionado,2500.0,Eletrodomésticos,3,02/04/2025,7500.0
1400,smartwatch,1000.0,Smartphones e Acessórios,4,18/06/2024,4000.0
1395,fogao,1500.0,Eletrodomésticos,4,11/04/2025,6000.0
5370,chromecast,200.0,"TV, Áudio e Vídeo",1,20/01/2025,200.0
1978,smartphone,2000.0,Smartphones e Acessórios,3,23/02/2025,6000.0
8144,notebook,4000.0,Informática e Periféricos,3,06/08/2025,12000.0
9300,ar-condicionado,2500.0,Eletrodomésticos,4,05/01/2025,10000.0
1554,mouse,100.0,Informática e Periféricos,1,11/10/2025,100.0
3055,notebook,4000.0,Informática e Periféricos,4,26/10/2025,16000.0
2482,smartwatch,1000.0,Smartphones e Acessórios,4,04/09/2025,4000.0
225,notebook,4000.0,Informática e Periféricos,3,13/08/2025,12000.0
9835,smart tv,4000.0,"TV, Áudio e Vídeo",3,18/02/2025,12000.0
2530,smartphone,2000.0,Smartphones e Acessórios,5,22/04/2024,10000.0
2255,fogao,1500.0,Eletrodomésticos,3,05/06/2025,4500.0
8807,monitor,1500.0,Informática e Periféricos,2,09/05/2024,3000.0
5600,fone de ouvido,200.0,Smartphones e Acessórios,4,11/07/2024,800.0
8288,ar-condicionado,2500.0,Eletrodomésticos,3,08/04/2025,7500.0
9226,smartphone,2000.0,Smartphones e Acessórios,5,18/01/2025,10000.0
7756,notebook,4000.0,Informática e Periféricos,2,03/03/2024,8000.0
3731,monitor,1500.0,Informática e Periféricos,3,23/01/2026,4500.0
4602,fone de ouvido,200.0,Smartphones e Acessórios,4,01/11/2024,800.0
9109,smartphone,2000.0,Smartphones e Acessórios,4,12/08/2024,8000.0
5421,soundbar,1000.0,"TV, Áudio e Vídeo",5,15/04/2025,5000.0
8096,ar-condicionado,2500.0,Eletrodomésticos,5,05/07/2025,12500.0
1880,fogao,1500.0,Eletrodomésticos,4,04/08/2025,6000.0
7695,fogao,1500.0,Eletrodomésticos,4,17/02/2025,6000.0
7584,fogao,1500.0,Eletrodomésticos,2,04/05/2024,3000.0
9675,monitor,1500.0,Informática e Periféricos,4,27/11/2025,6000.0
100,ar-condicionado,2500.0,Eletrodomésticos,5,22/08/2024,12500.0
7660,smartwatch,1000.0,Smartphones e Acessórios,5,25/06/2024,5000.0
7471,monitor,1500.0,Informática e Periféricos,1,15/12/2024,1500.0
2019,smartphone,2000.0,Smartphones e Acessórios,4,23/03/2025,8000.0
6917,smartphone,2000.0,Smartphones e Acessórios,5,24/06/2025,10000.0
2645,fone de ouvido,200.0,Smartphones e Acessórios,5,07/06/2024,1000.0
9126,ar-condicionado,2500.0,Eletrodomésticos,5,10/09/2025,12500.0
5043,soundbar,1000.0,"TV, Áudio e Vídeo",5,21/04/2025,5000.0
407,ar-condicionado,2500.0,Eletrodomésticos,5,14/08/2024,12500.0
5638,smartphone,2000.0,Smartphones e Acessórios,5,05/11/2024,10000.0
6025,smart tv,4000.0,"TV, Áudio e Vídeo",5,08/04/2025,20000.0
8690,carregador,100.0,Smartphones e Acessórios,3,17/02/2025,300.0
6515,soundbar,1000.0,"TV, Áudio e Vídeo",5,11/06/2024,5000.0
931,smartphone,2000.0,Smartphones e Acessórios,2,20/11/2025,4000.0
5031,carregador,100.0,Smartphones e Acessórios,4,22/01/2025,400.0
6143,notebook,4000.0,Informática e Periféricos,3,01/09/2025,12000.0
1957,carregador,100.0,Smartphones e Acessórios,5,31/08/2025,500.0
8065,geladeira,5000.0,Eletrodomésticos,4,23/06/2024,20000.0
6209,geladeira,5000.0,Eletrodomésticos,2,08/02/2025,10000.0
6873,chromecast,200.0,"TV, Áudio e Vídeo",5,09/08/2025,1000.0
7195,smartphone,2000.0,Smartphones e Acessórios,2,16/01/2026,4000.0
2339,chromecast,200.0,"TV, Áudio e Vídeo",3,05/07/2025,600.0
2698,fogao,1500.0,Eletrodomésticos,1,27/01/2025,1500.0
8181,smartphone,2000.0,Smartphones e Acessórios,2,27/07/2025,4000.0
4391,smart tv,4000.0,"TV, Áudio e Vídeo",3,22/02/2025,12000.0
4090,notebook,4000.0,Informática e Periféricos,4,25/10/2025,16000.0
7551,mouse,100.0,Informática e Periféricos,1,27/02/2024,100.0
105,smartphone,2000.0,Smartphones e Acessórios,5,20/06/2024,10000.0
5147,soundbar,1000.0,"TV, Áudio e Vídeo",1,25/01/2024,1000.0
5051,smartwatch,1000.0,Smartphones e Acessórios,5,23/09/2025,5000.0
5575,notebook,4000.0,Informática e Periféricos,2,16/01/2026,8000.0
3608,monitor,1500.0,Informática e Periféricos,4,07/05/2025,6000.0
3025,geladeira,5000.0,Eletrodomésticos,5,27/04/2025,25000.0
1693,fone de ouvido,200.0,Smartphones e Acessórios,2,27/09/2024,400.0
1879,soundbar,1000.0,"TV, Áudio e Vídeo",3,20/04/2024,3000.0
6079,smartphone,2000.0,Smartphones e Acessórios,4,13/03/2025,8000.0
3609,geladeira,5000.0,Eletrodomésticos,3,16/07/2025,15000.0
5520,smartwatch,1000.0,Smartphones e Acessórios,1,09/01/2026,1000.0
3843,ar-condicionado,2500.0,Eletrodomésticos,3,31/08/2024,7500.0
1021,carregador,100.0,Smartphones e Acessórios,1,16/10/2024,100.0
6000,carregador,100.0,Smartphones e Acessórios,3,10/03/2024,300.0
1669,fone de ouvido,200.0,Smartphones e Acessórios,4,17/12/2025,800.0
8760,fogao,1500.0,Eletrodomésticos,3,17/03/2024,4500.0
364,smartphone,2000.0,Smartphones e Acessórios,2,01/02/2024,4000.0
3875,chromecast,200.0,"TV, Áudio e Vídeo",4,25/06/2024,800.0
5403,fogao,1500.0,Eletrodomésticos,2,30/09/2025,3000.0
6217,geladeira,5000.0,Eletrodomésticos,2,10/01/2025,10000.0
3701,chromecast,200.0,"TV, Áudio e Vídeo",4,12/07/2024,800.0
4394,notebook,4000.0,Informática e Periféricos,3,01/01/2025,12000.0
4809,monitor,1500.0,Informática e Periféricos,1,22/01/2026,1500.0
2188,fogao,1500.0,Eletrodomésticos,4,28/09/2024,6000.0
3157,fogao,1500.0,Eletrodomésticos,2,21/05/2024,3000.0
4114,notebook,4000.0,Informática e Periféricos,4,11/06/2024,16000.0
7195,smartphone,2000.0,Smartphones e Acessórios,5,29/03/2024,10000.0
8897,chromecast,200.0,"TV, Áudio e Vídeo",4,23/06/2024,800.0
3247,soundbar,1000.0,"TV, Áudio e Vídeo",4,16/08/2025,4000.0
8578,notebook,4000.0,Informática e Periféricos,4,22/05/2025,16000.0
6025,mouse,100.0,Informática e Periféricos,4,28/01/2025,400.0
598,ar-condicionado,2500.0,Eletrodomésticos,2,01/02/2024,5000.0
1616,smartwatch,1000.0,Smartphones e Acessórios,4,07/12/2025,4000.0
4301,chromecast,200.0,"TV, Áudio e Vídeo",2,26/12/2024,400.0
3928,monitor,1500.0,Informática e Periféricos,4,10/07/2025,6000.0
1220,smartphone,2000.0,Smartphones e Acessórios,2,24/03/2025,4000.0
2819,smart tv,4000.0,"TV, Áudio e Vídeo",1,25/08/2024,4000.0
4070,smart tv,4000.0,"TV, Áudio e Vídeo",2,27/05/2025,8000.0
4125,geladeira,5000.0,Eletrodomésticos,1,05/10/2024,5000.0
5688,soundbar,1000.0,"TV, Áudio e Vídeo",3,19/08/2024,3000.0
8080,smart tv,4000.0,"TV, Áudio e Vídeo",1,05/12/2024,4000.0
6223,mouse,100.0,Informática e Periféricos,4,02/09/2025,400.0
3113,smartwatch,1000.0,Smartphones e Acessórios,5,11/09/2024,5000.0
1315,soundbar,1000.0,"TV, Áudio e Vídeo",1,24/03/2025,1000.0
4505,ar-condicionado,2500.0,Eletrodomésticos,1,30/10/2024,2500.0
5834,monitor,1500.0,Informática e Periféricos,4,11/10/2025,6000.0
4858,smartwatch,1000.0,Smartphones e Acessórios,1,18/06/2025,1000.0
8058,mouse,100.0,Informática e Periféricos,3,17/10/2025,300.0
994,mouse,100.0,Informática e Periféricos,2,16/02/2025,200.0
6423,fogao,1500.0,Eletrodomésticos,2,28/07/2025,3000.0
1320,soundbar,1000.0,"TV, Áudio e Vídeo",3,13/04/2025,3000.0
9987,smartphone,2000.0,Smartphones e Acessórios,1,23/12/2024,2000.0
5189,smartwatch,1000.0,Smartphones e Acessórios,5,06/06/2024,5000.0
2626,notebook,4000.0,Informática e Periféricos,5,11/08/2025,20000.0
9002,smartwatch,1000.0,Smartphones e Acessórios,1,15/03/2024,1000.0
4320,notebook,4000.0,Informática e Periféricos,1,22/10/2024,4000.0
2539,smartwatch,1000.0,Smartphones e Acessórios,5,16/03/2025,5000.0
9415,smartphone,2000.0,Smartphones e Acessórios,2,26/04/2024,4000.0
3842,fogao,1500.0,Eletrodomésticos,5,03/04/2025,7500.0
3760,chromecast,200.0,"TV, Áudio e Vídeo",3,10/04/2025,600.0
4680,chromecast,200.0,"TV, Áudio e Vídeo",5,19/11/2024,1000.0
3935,fone de ouvido,200.0,Smartphones e Acessórios,2,11/03/2025,400.0
8929,ar-condicionado,2500.0,Eletrodomésticos,4,16/03/2024,10000.0
1995,chromecast,200.0,"TV, Áudio e Vídeo",5,24/05/2024,1000.0
5472,carregador,100.0,Smartphones e Acessórios,5,15/04/2024,500.0
6393,fone de ouvido,200.0,Smartphones e Acessórios,4,26/04/2025,800.0
4051,carregador,100.0,Smartphones e Acessórios,4,14/03/2025,400.0
1645,mouse,100.0,Informática e Periféricos,2,30/07/2024,200.0
9595,monitor,1500.0,Informática e Periféricos,4,23/03/2024,6000.0
2996,notebook,4000.0,Informática e Periféricos,4,23/01/2026,16000.0
3037,monitor,1500.0,Informática e Periféricos,5,29/06/2025,7500.0
422,notebook,4000.0,Informática e Periféricos,1,26/12/2025,4000.0
8935,chromecast,200.0,"TV, Áudio e Vídeo",2,30/10/2024,400.0
9587,mouse,100.0,Informática e Periféricos,1,10/08/2025,100.0
7793,smartphone,2000.0,Smartphones e Acessórios,4,28/05/2024,8000.0
3520,fogao,1500.0,Eletrodomésticos,1,17/01/2025,1500.0
2097,mouse,100.0,Informática e Periféricos,2,03/03/2024,200.0
5574,ar-condicionado,2500.0,Eletrodomésticos,2,26/07/2025,5000.0
4670,fone de ouvido,200.0,Smartphones e Acessórios,2,31/01/2025,400.0
3119,carregador,100.0,Smartphones e Acessórios,4,24/04/2024,400.0
5875,fone de ouvido,200.0,Smartphones e Acessórios,4,08/06/2025,800.0
8869,geladeira,5000.0,Eletrodomésticos,2,06/02/2025,10000.0
836,soundbar,1000.0,"TV, Áudio e Vídeo",1,14/11/2024,1000.0
6867,monitor,1500.0,Informática e Periféricos,3,24/04/2024,4500.0
9628,monitor,1500.0,Informática e Periféricos,5,23/09/2025,7500.0
5452,smartwatch,1000.0,Smartphones e Acessórios,5,28/09/2025,5000.0
8839,fogao,1500.0,Eletrodomésticos,1,29/03/2025,1500.0
6650,smartphone,2000.0,Smartphones e Acessórios,4,11/06/2025,8000.0
7897,smartphone,2000.0,Smartphones e Acessórios,4,26/01/2025,8000.0
3431,geladeira,5000.0,Eletrodomésticos,5,30/10/2024,25000.0
2383,chromecast,200.0,"TV, Áudio e Vídeo",3,06/01/2026,600.0
6371,chromecast,200.0,"TV, Áudio e Vídeo",3,17/10/2024,600.0
209,notebook,4000.0,Informática e Periféricos,1,14/04/2024,4000.0
962,monitor,1500.0,Informática e Periféricos,2,22/10/2024,3000.0
7878,smartwatch,1000.0,Smartphones e Acessórios,4,19/05/2025,4000.0
6082,smartwatch,1000.0,Smartphones e Acessórios,1,03/05/2024,1000.0
8221,geladeira,5000.0,Eletrodomésticos,4,09/02/2024,20000.0
2955,smartwatch,1000.0,Smartphones e Acessórios,1,18/06/2024,1000.0
3174,ar-condicionado,2500.0,Eletrodomésticos,1,19/10/2025,2500.0
3791,monitor,1500.0,Informática e Periféricos,1,27/05/2024,1500.0
224,soundbar,1000.0,"TV, Áudio e Vídeo",4,28/01/2024,4000.0
1163,carregador,100.0,Smartphones e Acessórios,5,09/06/2025,500.0
1310,fogao,1500.0,Eletrodomésticos,4,08/04/2024,6000.0
5884,fone de ouvido,200.0,Smartphones e Acessórios,2,05/02/2025,400.0
7246,mouse,100.0,Informática e Periféricos,2,13/05/2024,200.0
945,geladeira,5000.0,Eletrodomésticos,2,29/09/2024,10000.0
4210,smart tv,4000.0,"TV, Áudio e Vídeo",4,16/09/2024,16000.0
5713,notebook,4000.0,Informática e Periféricos,5,04/06/2025,20000.0
8127,ar-condicionado,2500.0,Eletrodomésticos,4,26/04/2024,10000.0
9182,geladeira,5000.0,Eletrodomésticos,3,28/11/2025,15000.0
3306,notebook,4000.0,Informática e Periféricos,2,09/04/2024,8000.0
4095,mouse,100.0,Informática e Periféricos,5,27/09/2025,500.0
1603,ar-condicionado,2500.0,Eletrodomésticos,3,02/07/2024,7500.0
5896,smart tv,4000.0,"TV, Áudio e Vídeo",4,07/03/2025,16000.0
6685,fogao,1500.0,Eletrodomésticos,5,06/08/2025,7500.0
3165,monitor,1500.0,Informática e Periféricos,1,05/07/2024,1500.0
5524,carregador,100.0,Smartphones e Acessórios,5,26/11/2024,500.0
9697,chromecast,200.0,"TV, Áudio e Vídeo",5,16/10/2025,1000.0
5687,notebook,4000.0,Informática e Periféricos,5,03/11/2025,20000.0
9543,smartphone,2000.0,Smartphones e Acessórios,4,08/07/2024,8000.0
3065,carregador,100.0,Smartphones e Acessórios,1,09/11/2024,100.0
4670,smartphone,2000.0,Smartphones e Acessórios,5,17/02/2024,10000.0
566,notebook,4000.0,Informática e Periféricos,2,05/07/2025,8000.0
3706,smartwatch,1000.0,Smartphones e Acessórios,1,15/03/2024,1000.0
